===================================================
Source: M13
Columns: Radius (km) - Mass (Msolar) - Posterior Likelihood
Date: February 2016
Cite: Ozel, F., et al. 2016, ApJ in press, arXiv:1505.05155
===================================================
5.125000e+00 5.125000e-01 1.158292e-13
5.125000e+00 5.375000e-01 3.942381e-13
5.125000e+00 5.625000e-01 1.274033e-12
5.125000e+00 5.875000e-01 3.905038e-12
5.125000e+00 6.125000e-01 1.134338e-11
5.125000e+00 6.375000e-01 3.120971e-11
5.125000e+00 6.625000e-01 8.130937e-11
5.125000e+00 6.875000e-01 2.005791e-10
5.125000e+00 7.125000e-01 4.686570e-10
5.125000e+00 7.375000e-01 1.037868e-09
5.125000e+00 7.625000e-01 2.180920e-09
5.125000e+00 7.875000e-01 4.356106e-09
5.125000e+00 8.125000e-01 8.290670e-09
5.125000e+00 8.375000e-01 1.508641e-08
5.125000e+00 8.625000e-01 2.636514e-08
5.125000e+00 8.875000e-01 4.450069e-08
5.125000e+00 9.125000e-01 7.302808e-08
5.125000e+00 9.375000e-01 1.173645e-07
5.125000e+00 9.625000e-01 1.859992e-07
5.125000e+00 9.875000e-01 2.922726e-07
5.125000e+00 1.012500e+00 4.567365e-07
5.125000e+00 1.037500e+00 7.098592e-07
5.125000e+00 1.062500e+00 1.094498e-06
5.125000e+00 1.087500e+00 1.667142e-06
5.125000e+00 1.112500e+00 2.496565e-06
5.125000e+00 1.137500e+00 3.658328e-06
5.125000e+00 1.162500e+00 5.223854e-06
5.125000e+00 1.187500e+00 7.243920e-06
5.125000e+00 1.212500e+00 9.728098e-06
5.125000e+00 1.237500e+00 1.262424e-05
5.125000e+00 1.262500e+00 1.580412e-05
5.125000e+00 1.287500e+00 1.906190e-05
5.125000e+00 1.312500e+00 2.213068e-05
5.125000e+00 1.337500e+00 2.471717e-05
5.125000e+00 1.362500e+00 2.654907e-05
5.125000e+00 1.387500e+00 2.742421e-05
5.125000e+00 1.412500e+00 2.724827e-05
5.125000e+00 1.437500e+00 2.605101e-05
5.125000e+00 1.462500e+00 2.397702e-05
5.125000e+00 1.487500e+00 2.125499e-05
5.125000e+00 1.512500e+00 1.815507e-05
5.125000e+00 1.537500e+00 1.494558e-05
5.125000e+00 1.562500e+00 1.185804e-05
5.125000e+00 1.587500e+00 9.065507e-06
5.125000e+00 1.612500e+00 6.674691e-06
5.125000e+00 1.637500e+00 4.729457e-06
5.125000e+00 1.662500e+00 3.222116e-06
5.125000e+00 1.687500e+00 2.108538e-06
5.125000e+00 1.712500e+00 1.323961e-06
5.125000e+00 1.737500e+00 7.968427e-07
5.125000e+00 1.762500e+00 4.592493e-07
5.125000e+00 1.787500e+00 2.532334e-07
5.125000e+00 1.812500e+00 1.334919e-07
5.125000e+00 1.837500e+00 6.723180e-08
5.125000e+00 1.862500e+00 3.233484e-08
5.125000e+00 1.887500e+00 1.484592e-08
5.125000e+00 1.912500e+00 6.506365e-09
5.125000e+00 1.937500e+00 2.722172e-09
5.125000e+00 1.962500e+00 1.087694e-09
5.125000e+00 1.987500e+00 4.153510e-10
5.125000e+00 2.012500e+00 1.517371e-10
5.125000e+00 2.037500e+00 5.310757e-11
5.125000e+00 2.062500e+00 1.783899e-11
5.125000e+00 2.087500e+00 5.762848e-12
5.125000e+00 2.112500e+00 1.794451e-12
5.125000e+00 2.137500e+00 5.397460e-13
5.125000e+00 2.162500e+00 1.571149e-13
5.125000e+00 2.187500e+00 4.431219e-14
5.125000e+00 2.212500e+00 1.211288e-14
5.125000e+00 2.237500e+00 3.207031e-15
5.125000e+00 2.262500e+00 8.210902e-16
5.125000e+00 2.287500e+00 2.028296e-16
5.125000e+00 2.312500e+00 4.821156e-17
5.125000e+00 2.337500e+00 1.099646e-17
5.125000e+00 2.362500e+00 2.400516e-18
5.125000e+00 2.387500e+00 5.003665e-19
5.125000e+00 2.412500e+00 9.939930e-20
5.125000e+00 2.437500e+00 1.878997e-20
5.125000e+00 2.462500e+00 3.376406e-21
5.125000e+00 2.487500e+00 5.763443e-22
5.125000e+00 2.512500e+00 9.342547e-23
5.125000e+00 2.537500e+00 1.438310e-23
5.125000e+00 2.562500e+00 2.103880e-24
5.125000e+00 2.587500e+00 2.926401e-25
5.125000e+00 2.612500e+00 3.875434e-26
5.125000e+00 2.637500e+00 4.893825e-27
5.125000e+00 2.662500e+00 5.904349e-28
5.125000e+00 2.687500e+00 6.820762e-29
5.125000e+00 2.712500e+00 7.562520e-30
5.125000e+00 2.737500e+00 8.066690e-31
5.125000e+00 2.762500e+00 8.294650e-32
5.125000e+00 2.787500e+00 8.235099e-33
5.125000e+00 2.812500e+00 7.900546e-34
5.125000e+00 2.837500e+00 7.324751e-35
5.125000e+00 2.862500e+00 6.558009e-36
5.125000e+00 2.887500e+00 5.662238e-37
5.125000e+00 2.912500e+00 4.706438e-38
5.125000e+00 2.937500e+00 3.758419e-39
5.125000e+00 2.962500e+00 2.877824e-40
5.375000e+00 5.125000e-01 1.388847e-12
5.375000e+00 5.375000e-01 4.007051e-12
5.375000e+00 5.625000e-01 1.112809e-11
5.375000e+00 5.875000e-01 2.971761e-11
5.375000e+00 6.125000e-01 7.621016e-11
5.375000e+00 6.375000e-01 1.873842e-10
5.375000e+00 6.625000e-01 4.410419e-10
5.375000e+00 6.875000e-01 9.922342e-10
5.375000e+00 7.125000e-01 2.131179e-09
5.375000e+00 7.375000e-01 4.366712e-09
5.375000e+00 7.625000e-01 8.532891e-09
5.375000e+00 7.875000e-01 1.590747e-08
5.375000e+00 8.125000e-01 2.832444e-08
5.375000e+00 8.375000e-01 4.827071e-08
5.375000e+00 8.625000e-01 7.899089e-08
5.375000e+00 8.875000e-01 1.246901e-07
5.375000e+00 9.125000e-01 1.910133e-07
5.375000e+00 9.375000e-01 2.860459e-07
5.375000e+00 9.625000e-01 4.220903e-07
5.375000e+00 9.875000e-01 6.183605e-07
5.375000e+00 1.012500e+00 9.045091e-07
5.375000e+00 1.037500e+00 1.324570e-06
5.375000e+00 1.062500e+00 1.940512e-06
5.375000e+00 1.087500e+00 2.834187e-06
5.375000e+00 1.112500e+00 4.106130e-06
5.375000e+00 1.137500e+00 5.869519e-06
5.375000e+00 1.162500e+00 8.237788e-06
5.375000e+00 1.187500e+00 1.130548e-05
5.375000e+00 1.212500e+00 1.512335e-05
5.375000e+00 1.237500e+00 1.967116e-05
5.375000e+00 1.262500e+00 2.483400e-05
5.375000e+00 1.287500e+00 3.038885e-05
5.375000e+00 1.312500e+00 3.600857e-05
5.375000e+00 1.337500e+00 4.128662e-05
5.375000e+00 1.362500e+00 4.578232e-05
5.375000e+00 1.387500e+00 4.908006e-05
5.375000e+00 1.412500e+00 5.085168e-05
5.375000e+00 1.437500e+00 5.090926e-05
5.375000e+00 1.462500e+00 4.923645e-05
5.375000e+00 1.487500e+00 4.599171e-05
5.375000e+00 1.512500e+00 4.148267e-05
