===================================================
Source: Omega Cen
Columns: Radius (km) - Mass (Msolar) - Posterior Likelihood
Date: February 2016
Cite: Ozel, F., et al. 2016, ApJ in press, arXiv:1505.05155
===================================================
5.125000e+00 5.125000e-01 8.480377e-08
5.125000e+00 5.375000e-01 1.021273e-07
5.125000e+00 5.625000e-01 1.243938e-07
5.125000e+00 5.875000e-01 1.561390e-07
5.125000e+00 6.125000e-01 2.041217e-07
5.125000e+00 6.375000e-01 2.774367e-07
5.125000e+00 6.625000e-01 3.875120e-07
5.125000e+00 6.875000e-01 5.481033e-07
5.125000e+00 7.125000e-01 7.754397e-07
5.125000e+00 7.375000e-01 1.088669e-06
5.125000e+00 7.625000e-01 1.510729e-06
5.125000e+00 7.875000e-01 2.069736e-06
5.125000e+00 8.125000e-01 2.800874e-06
5.125000e+00 8.375000e-01 3.748664e-06
5.125000e+00 8.625000e-01 4.969293e-06
5.125000e+00 8.875000e-01 6.532436e-06
5.125000e+00 9.125000e-01 8.521952e-06
5.125000e+00 9.375000e-01 1.103463e-05
5.125000e+00 9.625000e-01 1.417647e-05
5.125000e+00 9.875000e-01 1.805605e-05
5.125000e+00 1.012500e+00 2.277447e-05
5.125000e+00 1.037500e+00 2.841147e-05
5.125000e+00 1.062500e+00 3.500654e-05
5.125000e+00 1.087500e+00 4.253448e-05
5.125000e+00 1.112500e+00 5.087605e-05
5.125000e+00 1.137500e+00 5.978838e-05
5.125000e+00 1.162500e+00 6.888345e-05
5.125000e+00 1.187500e+00 7.762784e-05
5.125000e+00 1.212500e+00 8.537445e-05
5.125000e+00 1.237500e+00 9.143163e-05
5.125000e+00 1.262500e+00 9.516268e-05
5.125000e+00 1.287500e+00 9.609572e-05
5.125000e+00 1.312500e+00 9.401696e-05
5.125000e+00 1.337500e+00 8.902108e-05
5.125000e+00 1.362500e+00 8.150460e-05
5.125000e+00 1.387500e+00 7.210367e-05
5.125000e+00 1.412500e+00 6.159327e-05
5.125000e+00 1.437500e+00 5.077181e-05
5.125000e+00 1.462500e+00 4.035656e-05
5.125000e+00 1.487500e+00 3.090719e-05
5.125000e+00 1.512500e+00 2.278623e-05
5.125000e+00 1.537500e+00 1.615622e-05
5.125000e+00 1.562500e+00 1.100611e-05
5.125000e+00 1.587500e+00 7.196708e-06
5.125000e+00 1.612500e+00 4.512771e-06
5.125000e+00 1.637500e+00 2.711460e-06
5.125000e+00 1.662500e+00 1.559936e-06
5.125000e+00 1.687500e+00 8.588128e-07
5.125000e+00 1.712500e+00 4.522485e-07
5.125000e+00 1.737500e+00 2.277150e-07
5.125000e+00 1.762500e+00 1.096056e-07
5.125000e+00 1.787500e+00 5.042333e-08
5.125000e+00 1.812500e+00 2.216872e-08
5.125000e+00 1.837500e+00 9.313993e-09
5.125000e+00 1.862500e+00 3.739466e-09
5.125000e+00 1.887500e+00 1.434730e-09
5.125000e+00 1.912500e+00 5.260849e-10
5.125000e+00 1.937500e+00 1.843899e-10
5.125000e+00 1.962500e+00 6.179398e-11
5.125000e+00 1.987500e+00 1.981093e-11
5.125000e+00 2.012500e+00 6.080847e-12
5.125000e+00 2.037500e+00 1.789223e-12
5.125000e+00 2.062500e+00 5.055511e-13
5.125000e+00 2.087500e+00 1.375080e-13
5.125000e+00 2.112500e+00 3.611927e-14
5.125000e+00 2.137500e+00 9.197716e-15
5.125000e+00 2.162500e+00 2.280768e-15
5.125000e+00 2.187500e+00 5.532004e-16
5.125000e+00 2.212500e+00 1.317589e-16
5.125000e+00 2.237500e+00 3.089383e-17
5.125000e+00 2.262500e+00 7.134712e-18
5.125000e+00 2.287500e+00 1.620281e-18
5.125000e+00 2.312500e+00 3.605555e-19
5.125000e+00 2.337500e+00 7.824740e-20
5.125000e+00 2.362500e+00 1.647484e-20
5.125000e+00 2.387500e+00 3.348044e-21
5.125000e+00 2.412500e+00 6.536962e-22
5.125000e+00 2.437500e+00 1.221290e-22
5.125000e+00 2.462500e+00 2.176027e-23
5.125000e+00 2.487500e+00 3.687354e-24
5.125000e+00 2.512500e+00 5.928876e-25
5.125000e+00 2.537500e+00 9.029262e-26
5.125000e+00 2.562500e+00 1.300439e-26
5.125000e+00 2.587500e+00 1.769158e-27
5.125000e+00 2.612500e+00 2.271242e-28
5.125000e+00 2.637500e+00 2.749260e-29
5.125000e+00 2.662500e+00 3.135878e-30
5.125000e+00 2.687500e+00 3.368574e-31
5.125000e+00 2.712500e+00 3.406424e-32
5.125000e+00 2.737500e+00 3.241715e-33
5.125000e+00 2.762500e+00 2.902228e-34
5.125000e+00 2.787500e+00 2.443927e-35
5.125000e+00 2.812500e+00 1.935274e-36
5.125000e+00 2.837500e+00 1.440916e-37
5.125000e+00 2.862500e+00 1.008634e-38
5.125000e+00 2.887500e+00 6.636868e-40
5.125000e+00 2.912500e+00 4.105018e-41
5.125000e+00 2.937500e+00 2.386380e-42
5.125000e+00 2.962500e+00 1.303851e-43
5.375000e+00 5.125000e-01 2.241392e-07
5.375000e+00 5.375000e-01 2.817069e-07
5.375000e+00 5.625000e-01 3.545592e-07
5.375000e+00 5.875000e-01 4.507504e-07
5.375000e+00 6.125000e-01 5.814974e-07
5.375000e+00 6.375000e-01 7.611981e-07
5.375000e+00 6.625000e-01 1.007329e-06
5.375000e+00 6.875000e-01 1.340445e-06
5.375000e+00 7.125000e-01 1.784574e-06
5.375000e+00 7.375000e-01 2.368271e-06
5.375000e+00 7.625000e-01 3.126530e-06
5.375000e+00 7.875000e-01 4.103657e-06
5.375000e+00 8.125000e-01 5.356975e-06
5.375000e+00 8.375000e-01 6.961097e-06
5.375000e+00 8.625000e-01 9.012089e-06
5.375000e+00 8.875000e-01 1.163047e-05
5.375000e+00 9.125000e-01 1.496158e-05
5.375000e+00 9.375000e-01 1.917130e-05
5.375000e+00 9.625000e-01 2.443543e-05
5.375000e+00 9.875000e-01 3.092155e-05
5.375000e+00 1.012500e+00 3.876390e-05
5.375000e+00 1.037500e+00 4.803361e-05
5.375000e+00 1.062500e+00 5.870829e-05
5.375000e+00 1.087500e+00 7.064508e-05
5.375000e+00 1.112500e+00 8.356145e-05
5.375000e+00 1.137500e+00 9.702701e-05
5.375000e+00 1.162500e+00 1.104693e-04
5.375000e+00 1.187500e+00 1.231979e-04
5.375000e+00 1.212500e+00 1.344486e-04
5.375000e+00 1.237500e+00 1.434493e-04
5.375000e+00 1.262500e+00 1.495010e-04
