===================================================
Source: Terzan 2, X5
Columns: Radius (km) - Mass (Msolar) - Posterior Likelihood
Date: February 2016
Cite: Bogdanov, S., et al. 2016, ApJ, submitted
===================================================
7.400000e+00 5.000000e-01 1.916492e-37
7.400000e+00 5.320000e-01 2.702399e-21
7.400000e+00 5.640000e-01 4.345490e-21
7.400000e+00 5.960000e-01 9.432300e-21
7.400000e+00 6.280000e-01 2.513184e-20
7.400000e+00 6.600000e-01 7.587893e-20
7.400000e+00 6.920000e-01 2.570165e-19
7.400000e+00 7.240000e-01 9.621207e-19
7.400000e+00 7.560000e-01 3.960561e-18
7.400000e+00 7.880000e-01 1.801825e-17
7.400000e+00 8.200000e-01 1.216783e-16
7.400000e+00 8.520000e-01 9.218500e-16
7.400000e+00 8.840000e-01 8.278212e-15
7.400000e+00 9.160000e-01 7.622033e-14
7.400000e+00 9.480000e-01 7.123923e-13
7.400000e+00 9.800000e-01 6.725298e-12
7.400000e+00 1.012000e+00 6.285744e-11
7.400000e+00 1.044000e+00 5.787499e-10
7.400000e+00 1.076000e+00 5.119801e-09
7.400000e+00 1.108000e+00 4.308265e-08
7.400000e+00 1.140000e+00 3.397191e-07
7.400000e+00 1.172000e+00 2.460497e-06
7.400000e+00 1.204000e+00 1.661595e-05
7.400000e+00 1.236000e+00 1.020397e-04
7.400000e+00 1.268000e+00 5.339811e-04
7.400000e+00 1.300000e+00 2.345758e-03
7.400000e+00 1.332000e+00 8.436836e-03
7.400000e+00 1.364000e+00 2.496829e-02
7.400000e+00 1.396000e+00 6.391826e-02
7.400000e+00 1.428000e+00 1.387407e-01
7.400000e+00 1.460000e+00 2.502866e-01
7.400000e+00 1.492000e+00 3.696683e-01
7.400000e+00 1.524000e+00 4.366388e-01
7.400000e+00 1.556000e+00 4.690011e-01
7.400000e+00 1.588000e+00 4.722956e-01
7.400000e+00 1.620000e+00 4.617880e-01
7.400000e+00 1.652000e+00 1.188198e-01
7.400000e+00 1.684000e+00 3.026586e-01
7.400000e+00 1.716000e+00 1.998582e-01
7.400000e+00 1.748000e+00 1.107869e-01
7.400000e+00 1.780000e+00 5.129574e-02
7.400000e+00 1.812000e+00 1.944532e-02
7.400000e+00 1.844000e+00 5.856814e-03
7.400000e+00 1.876000e+00 1.387644e-03
7.400000e+00 1.908000e+00 2.534994e-04
7.400000e+00 1.940000e+00 3.312743e-05
7.400000e+00 1.972000e+00 3.255553e-06
7.400000e+00 2.004000e+00 2.198878e-07
7.400000e+00 2.036000e+00 9.422647e-09
7.400000e+00 2.068000e+00 4.330571e-10
7.400000e+00 2.100000e+00 1.679145e-11
7.532000e+00 5.000000e-01 4.477077e-19
7.532000e+00 5.320000e-01 5.634825e-19
7.532000e+00 5.640000e-01 8.662180e-19
7.532000e+00 5.960000e-01 1.554852e-18
7.532000e+00 6.280000e-01 3.692803e-18
7.532000e+00 6.600000e-01 9.596324e-18
7.532000e+00 6.920000e-01 3.045915e-17
7.532000e+00 7.240000e-01 9.476319e-17
7.532000e+00 7.560000e-01 3.408286e-16
7.532000e+00 7.880000e-01 1.334598e-15
7.532000e+00 8.200000e-01 5.576885e-15
7.532000e+00 8.520000e-01 2.694041e-14
7.532000e+00 8.840000e-01 1.819316e-13
7.532000e+00 9.160000e-01 1.330924e-12
7.532000e+00 9.480000e-01 1.086854e-11
7.532000e+00 9.800000e-01 8.358574e-11
7.532000e+00 1.012000e+00 6.332558e-10
7.532000e+00 1.044000e+00 4.609502e-09
7.532000e+00 1.076000e+00 3.355280e-08
7.532000e+00 1.108000e+00 2.232109e-07
7.532000e+00 1.140000e+00 1.462815e-06
7.532000e+00 1.172000e+00 8.849510e-06
7.532000e+00 1.204000e+00 4.795968e-05
7.532000e+00 1.236000e+00 2.237125e-04
7.532000e+00 1.268000e+00 1.017762e-03
7.532000e+00 1.300000e+00 3.906364e-03
7.532000e+00 1.332000e+00 1.215335e-02
7.532000e+00 1.364000e+00 3.287156e-02
7.532000e+00 1.396000e+00 7.729332e-02
7.532000e+00 1.428000e+00 1.518065e-01
7.532000e+00 1.460000e+00 2.566231e-01
7.532000e+00 1.492000e+00 7.352374e-02
7.532000e+00 1.524000e+00 4.312144e-01
